DexNo	Name	HP	Attack	Defense	Sp_Atk	Sp_Def	Speed	Total	Type1	Type2	Generation	Legendary
385	Jirachi	100	100	100	100	100	100	600	Steel	Psychic	3	True
386	DeoxysNormal Forme	50	150	50	150	50	150	600	Psychic		3	True
386	DeoxysAttack Forme	50	180	20	180	20	150	600	Psychic		3	True
386	DeoxysDefense Forme	50	70	160	70	160	90	600	Psychic		3	True
386	DeoxysSpeed Forme	50	95	90	95	90	180	600	Psychic		3	True
387	Turtwig	55	68	64	45	55	31	318	Grass		4	False
388	Grotle	75	89	85	55	65	36	405	Grass		4	False
389	Torterra	95	109	105	75	85	56	525	Grass	Ground	4	False
390	Chimchar	44	58	44	58	44	61	309	Fire		4	False
391	Monferno	64	78	52	78	52	81	405	Fire	Fighting	4	False
392	Infernape	76	104	71	104	71	108	534	Fire	Fighting	4	False
393	Piplup	53	51	53	61	56	40	314	Water		4	False
394	Prinplup	64	66	68	81	76	50	405	Water		4	False
395	Empoleon	84	86	88	111	101	60	530	Water	Steel	4	False
396	Starly	40	55	30	30	30	60	245	Normal	Flying	4	False
397	Staravia	55	75	50	40	40	80	340	Normal	Flying	4	False
398	Staraptor	85	120	70	50	60	100	485	Normal	Flying	4	False
399	Bidoof	59	45	40	35	40	31	250	Normal		4	False
400	Bibarel	79	85	60	55	60	71	410	Normal	Water	4	False
401	Kricketot	37	25	41	25	41	25	194	Bug		4	False
402	Kricketune	77	85	51	55	51	65	384	Bug		4	False
403	Shinx	45	65	34	40	34	45	263	Electric		4	False
404	Luxio	60	85	49	60	49	60	363	Electric		4	False
405	Luxray	80	120	79	95	79	70	523	Electric		4	False
406	Budew	40	30	35	50	70	55	280	Grass	Poison	4	False
407	Roserade	60	70	65	125	105	90	515	Grass	Poison	4	False
408	Cranidos	67	125	40	30	30	58	350	Rock		4	False
409	Rampardos	97	165	60	65	50	58	495	Rock		4	False
410	Shieldon	30	42	118	42	88	30	350	Rock	Steel	4	False
411	Bastiodon	60	52	168	47	138	30	495	Rock	Steel	4	False
412	Burmy	40	29	45	29	45	36	224	Bug		4	False
413	WormadamPlant Cloak	60	59	85	79	105	36	424	Bug	Grass	4	False
413	WormadamSandy Cloak	60	79	105	59	85	36	424	Bug	Ground	4	False
413	WormadamTrash Cloak	60	69	95	69	95	36	424	Bug	Steel	4	False
414	Mothim	70	94	50	94	50	66	424	Bug	Flying	4	False
415	Combee	30	30	42	30	42	70	244	Bug	Flying	4	False
416	Vespiquen	70	80	102	80	102	40	474	Bug	Flying	4	False
417	Pachirisu	60	45	70	45	90	95	405	Electric		4	False
418	Buizel	55	65	35	60	30	85	330	Water		4	False
419	Floatzel	85	105	55	85	50	115	495	Water		4	False
420	Cherubi	45	35	45	62	53	35	275	Grass		4	False
421	Cherrim	70	60	70	87	78	85	450	Grass		4	False
422	Shellos	76	48	48	57	62	34	325	Water		4	False
423	Gastrodon	111	83	68	92	82	39	475	Water	Ground	4	False
424	Ambipom	75	100	66	60	66	115	482	Normal		4	False
425	Drifloon	90	50	34	60	44	70	348	Ghost	Flying	4	False
426	Drifblim	150	80	44	90	54	80	498	Ghost	Flying	4	False
427	Buneary	55	66	44	44	56	85	350	Normal		4	False
428	Lopunny	65	76	84	54	96	105	480	Normal		4	False
428	LopunnyMega Lopunny	65	136	94	54	96	135	580	Normal	Fighting	4	False
429	Mismagius	60	60	60	105	105	105	495	Ghost		4	False
430	Honchkrow	100	125	52	105	52	71	505	Dark	Flying	4	False
431	Glameow	49	55	42	42	37	85	310	Normal		4	False
432	Purugly	71	82	64	64	59	112	452	Normal		4	False
433	Chingling	45	30	50	65	50	45	285	Psychic		4	False
434	Stunky	63	63	47	41	41	74	329	Poison	Dark	4	False
435	Skuntank	103	93	67	71	61	84	479	Poison	Dark	4	False
436	Bronzor	57	24	86	24	86	23	300	Steel	Psychic	4	False
437	Bronzong	67	89	116	79	116	33	500	Steel	Psychic	4	False
438	Bonsly	50	80	95	10	45	10	290	Rock		4	False
439	Mime Jr.	20	25	45	70	90	60	310	Psychic	Fairy	4	False
440	Happiny	100	5	5	15	65	30	220	Normal		4	False
441	Chatot	76	65	45	92	42	91	411	Normal	Flying	4	False
442	Spiritomb	50	92	108	92	108	35	485	Ghost	Dark	4	False
443	Gible	58	70	45	40	45	42	300	Dragon	Ground	4	False
444	Gabite	68	90	65	50	55	82	410	Dragon	Ground	4	False
445	Garchomp	108	130	95	80	85	102	600	Dragon	Ground	4	False
445	GarchompMega Garchomp	108	170	115	120	95	92	700	Dragon	Ground	4	False
446	Munchlax	135	85	40	40	85	5	390	Normal		4	False
447	Riolu	40	70	40	35	40	60	285	Fighting		4	False
448	Lucario	70	110	70	115	70	90	525	Fighting	Steel	4	False
448	LucarioMega Lucario	70	145	88	140	70	112	625	Fighting	Steel	4	False
449	Hippopotas	68	72	78	38	42	32	330	Ground		4	False
450	Hippowdon	108	112	118	68	72	47	525	Ground		4	False
451	Skorupi	40	50	90	30	55	65	330	Poison	Bug	4	False
452	Drapion	70	90	110	60	75	95	500	Poison	Dark	4	False
453	Croagunk	48	61	40	61	40	50	300	Poison	Fighting	4	False
454	Toxicroak	83	106	65	86	65	85	490	Poison	Fighting	4	False
455	Carnivine	74	100	72	90	72	46	454	Grass		4	False
456	Finneon	49	49	56	49	61	66	330	Water		4	False
457	Lumineon	69	69	76	69	86	91	460	Water		4	False
458	Mantyke	45	20	50	60	120	50	345	Water	Flying	4	False
459	Snover	60	62	50	62	60	40	334	Grass	Ice	4	False
460	Abomasnow	90	92	75	92	85	60	494	Grass	Ice	4	False
460	AbomasnowMega Abomasnow	90	132	105	132	105	30	594	Grass	Ice	4	False
461	Weavile	70	120	65	45	85	125	510	Dark	Ice	4	False
462	Magnezone	70	70	115	130	90	60	535	Electric	Steel	4	False
463	Lickilicky	110	85	95	80	95	50	515	Normal		4	False
464	Rhyperior	115	140	130	55	55	40	535	Ground	Rock	4	False
465	Tangrowth	100	100	125	110	50	50	535	Grass		4	False
466	Electivire	75	123	67	95	85	95	540	Electric		4	False
467	Magmortar	75	95	67	125	95	83	540	Fire		4	False
468	Togekiss	85	50	95	120	115	80	545	Fairy	Flying	4	False
469	Yanmega	86	76	86	116	56	95	515	Bug	Flying	4	False
470	Leafeon	65	110	130	60	65	95	525	Grass		4	False
471	Glaceon	65	60	110	130	95	65	525	Ice		4	False
472	Gliscor	75	95	125	45	75	95	510	Ground	Flying	4	False
473	Mamoswine	110	130	80	70	60	80	530	Ice	Ground	4	False
474	Porygon-Z	85	80	70	135	75	90	535	Normal		4	False
475	Gallade	68	125	65	65	115	80	518	Psychic	Fighting	4	False
475	GalladeMega Gallade	68	165	95	65	115	110	618	Psychic	Fighting	4	False
476	Probopass	60	55	145	75	150	40	525	Rock	Steel	4	False
477	Dusknoir	45	100	135	65	135	45	525	Ghost		4	False
478	Froslass	70	80	70	80	70	110	480	Ice	Ghost	4	False
479	Rotom	50	50	77	95	77	91	440	Electric	Ghost	4	False
479	RotomHeat Rotom	50	65	107	105	107	86	520	Electric	Fire	4	False
479	RotomWash Rotom	50	65	107	105	107	86	520	Electric	Water	4	False
479	RotomFrost Rotom	50	65	107	105	107	86	520	Electric	Ice	4	False
479	RotomFan Rotom	50	65	107	105	107	86	520	Electric	Flying	4	False
479	RotomMow Rotom	50	65	107	105	107	86	520	Electric	Grass	4	False
480	Uxie	75	75	130	75	130	95	580	Psychic		4	True
481	Mesprit	80	105	105	105	105	80	580	Psychic		4	True
482	Azelf	75	125	70	125	70	115	580	Psychic		4	True
483	Dialga	100	120	120	150	100	90	680	Steel	Dragon	4	True
484	Palkia	90	120	100	150	120	100	680	Water	Dragon	4	True
485	Heatran	91	90	106	130	106	77	600	Fire	Steel	4	True
486	Regigigas	110	160	110	80	110	100	670	Normal		4	True
487	GiratinaAltered Forme	150	100	120	100	120	90	680	Ghost	Dragon	4	True
487	GiratinaOrigin Forme	150	120	100	120	100	90	680	Ghost	Dragon	4	True
488	Cresselia	120	70	120	75	130	85	600	Psychic		4	False
489	Phione	80	80	80	80	80	80	480	Water		4	False
490	Manaphy	100	100	100	100	100	100	600	Water		4	False
491	Darkrai	70	90	90	135	90	125	600	Dark		4	True
492	ShayminLand Forme	100	100	100	100	100	100	600	Grass		4	True
492	ShayminSky Forme	100	103	75	120	75	127	600	Grass	Flying	4	True
493	Arceus	120	120	120	120	120	120	720	Normal		4	True
494	Victini	100	100	100	100	100	100	600	Psychic	Fire	5	True
495	Snivy	45	45	55	45	55	63	308	Grass		5	False
496	Servine	60	60	75	60	75	83	413	Grass		5	False
497	Serperior	75	75	95	75	95	113	528	Grass		5	False
498	Tepig	65	63	45	45	45	45	308	Fire		5	False
499	Pignite	90	93	55	70	55	55	418	Fire	Fighting	5	False
500	Emboar	110	123	65	100	65	65	528	Fire	Fighting	5	False
501	Oshawott	55	55	45	63	45	45	308	Water		5	False
502	Dewott	75	75	60	83	60	60	413	Water		5	False
503	Samurott	95	100	85	108	70	70	528	Water		5	False
504	Patrat	45	55	39	35	39	42	255	Normal		5	False
505	Watchog	60	85	69	60	69	77	420	Normal		5	False
506	Lillipup	45	60	45	25	45	55	275	Normal		5	False
507	Herdier	65	80	65	35	65	60	370	Normal		5	False
508	Stoutland	85	110	90	45	90	80	500	Normal		5	False
509	Purrloin	41	50	37	50	37	66	281	Dark		5	False
510	Liepard	64	88	50	88	50	106	446	Dark		5	False
511	Pansage	50	53	48	53	48	64	316	Grass		5	False
512	Simisage	75	98	63	98	63	101	498	Grass		5	False
513	Pansear	50	53	48	53	48	64	316	Fire		5	False
514	Simisear	75	98	63	98	63	101	498	Fire		5	False
515	Panpour	50	53	48	53	48	64	316	Water		5	False
516	Simipour	75	98	63	98	63	101	498	Water		5	False
517	Munna	76	25	45	67	55	24	292	Psychic		5	False
518	Musharna	116	55	85	107	95	29	487	Psychic		5	False
519	Pidove	50	55	50	36	30	43	264	Normal	Flying	5	False
520	Tranquill	62	77	62	50	42	65	358	Normal	Flying	5	False
521	Unfezant	80	115	80	65	55	93	488	Normal	Flying	5	False
522	Blitzle	45	60	32	50	32	76	295	Electric		5	False
523	Zebstrika	75	100	63	80	63	116	497	Electric		5	False
524	Roggenrola	55	75	85	25	25	15	280	Rock		5	False
525	Boldore	70	105	105	50	40	20	390	Rock		5	False
526	Gigalith	85	135	130	60	80	25	515	Rock		5	False
527	Woobat	55	45	43	55	43	72	313	Psychic	Flying	5	False
528	Swoobat	67	57	55	77	55	114	425	Psychic	Flying	5	False
529	Drilbur	60	85	40	30	45	68	328	Ground		5	False
530	Excadrill	110	135	60	50	65	88	508	Ground	Steel	5	False
531	Audino	103	60	86	60	86	50	445	Normal		5	False
531	AudinoMega Audino	103	60	126	80	126	50	545	Normal	Fairy	5	False
532	Timburr	75	80	55	25	35	35	305	Fighting		5	False
533	Gurdurr	85	105	85	40	50	40	405	Fighting		5	False
534	Conkeldurr	105	140	95	55	65	45	505	Fighting		5	False
535	Tympole	50	50	40	50	40	64	294	Water		5	False
536	Palpitoad	75	65	55	65	55	69	384	Water	Ground	5	False
537	Seismitoad	105	95	75	85	75	74	509	Water	Ground	5	False
538	Throh	120	100	85	30	85	45	465	Fighting		5	False
539	Sawk	75	125	75	30	75	85	465	Fighting		5	False
540	Sewaddle	45	53	70	40	60	42	310	Bug	Grass	5	False
541	Swadloon	55	63	90	50	80	42	380	Bug	Grass	5	False
542	Leavanny	75	103	80	70	80	92	500	Bug	Grass	5	False
543	Venipede	30	45	59	30	39	57	260	Bug	Poison	5	False
544	Whirlipede	40	55	99	40	79	47	360	Bug	Poison	5	False
545	Scolipede	60	100	89	55	69	112	485	Bug	Poison	5	False
546	Cottonee	40	27	60	37	50	66	280	Grass	Fairy	5	False
547	Whimsicott	60	67	85	77	75	116	480	Grass	Fairy	5	False
548	Petilil	45	35	50	70	50	30	280	Grass		5	False
549	Lilligant	70	60	75	110	75	90	480	Grass		5	False
550	Basculin	70	92	65	80	55	98	460	Water		5	False
551	Sandile	50	72	35	35	35	65	292	Ground	Dark	5	False
552	Krokorok	60	82	45	45	45	74	351	Ground	Dark	5	False
553	Krookodile	95	117	80	65	70	92	519	Ground	Dark	5	False
554	Darumaka	70	90	45	15	45	50	315	Fire		5	False
555	DarmanitanStandard Mode	105	140	55	30	55	95	480	Fire		5	False
555	DarmanitanZen Mode	105	30	105	140	105	55	540	Fire	Psychic	5	False
556	Maractus	75	86	67	106	67	60	461	Grass		5	False
557	Dwebble	50	65	85	35	35	55	325	Bug	Rock	5	False
558	Crustle	70	95	125	65	75	45	475	Bug	Rock	5	False
559	Scraggy	50	75	70	35	70	48	348	Dark	Fighting	5	False
560	Scrafty	65	90	115	45	115	58	488	Dark	Fighting	5	False
561	Sigilyph	72	58	80	103	80	97	490	Psychic	Flying	5	False
562	Yamask	38	30	85	55	65	30	303	Ghost		5	False
563	Cofagrigus	58	50	145	95	105	30	483	Ghost		5	False
564	Tirtouga	54	78	103	53	45	22	355	Water	Rock	5	False
565	Carracosta	74	108	133	83	65	32	495	Water	Rock	5	False
566	Archen	55	112	45	74	45	70	401	Rock	Flying	5	False
567	Archeops	75	140	65	112	65	110	567	Rock	Flying	5	False
568	Trubbish	50	50	62	40	62	65	329	Poison		5	False
569	Garbodor	80	95	82	60	82	75	474	Poison		5	False
570	Zorua	40	65	40	80	40	65	330	Dark		5	False
571	Zoroark	60	105	60	120	60	105	510	Dark		5	False
572	Minccino	55	50	40	40	40	75	300	Normal		5	False
573	Cinccino	75	95	60	65	60	115	470	Normal		5	False
574	Gothita	45	30	50	55	65	45	290	Psychic		5	False
575	Gothorita	60	45	70	75	85	55	390	Psychic		5	False
576	Gothitelle	70	55	95	95	110	65	490	Psychic		5	False
577	Solosis	45	30	40	105	50	20	290	Psychic		5	False
578	Duosion	65	40	50	125	60	30	370	Psychic		5	False
579	Reuniclus	110	65	75	125	85	30	490	Psychic		5	False
580	Ducklett	62	44	50	44	50	55	305	Water	Flying	5	False
581	Swanna	75	87	63	87	63	98	473	Water	Flying	5	False
582	Vanillite	36	50	50	65	60	44	305	Ice		5	False
583	Vanillish	51	65	65	80	75	59	395	Ice		5	False
584	Vanilluxe	71	95	85	110	95	79	535	Ice		5	False
585	Deerling	60	60	50	40	50	75	335	Normal	Grass	5	False
586	Sawsbuck	80	100	70	60	70	95	475	Normal	Grass	5	False
587	Emolga	55	75	60	75	60	103	428	Electric	Flying	5	False
588	Karrablast	50	75	45	40	45	60	315	Bug		5	False
589	Escavalier	70	135	105	60	105	20	495	Bug	Steel	5	False
590	Foongus	69	55	45	55	55	15	294	Grass	Poison	5	False
591	Amoonguss	114	85	70	85	80	30	464	Grass	Poison	5	False
592	Frillish	55	40	50	65	85	40	335	Water	Ghost	5	False
593	Jellicent	100	60	70	85	105	60	480	Water	Ghost	5	False
594	Alomomola	165	75	80	40	45	65	470	Water		5	False
595	Joltik	50	47	50	57	50	65	319	Bug	Electric	5	False
596	Galvantula	70	77	60	97	60	108	472	Bug	Electric	5	False
597	Ferroseed	44	50	91	24	86	10	305	Grass	Steel	5	False
598	Ferrothorn	74	94	131	54	116	20	489	Grass	Steel	5	False
599	Klink	40	55	70	45	60	30	300	Steel		5	False
600	Klang	60	80	95	70	85	50	440	Steel		5	False
601	Klinklang	60	100	115	70	85	90	520	Steel		5	False
602	Tynamo	35	55	40	45	40	60	275	Electric		5	False
603	Eelektrik	65	85	70	75	70	40	405	Electric		5	False
604	Eelektross	85	115	80	105	80	50	515	Electric		5	False
605	Elgyem	55	55	55	85	55	30	335	Psychic		5	False
606	Beheeyem	75	75	75	125	95	40	485	Psychic		5	False
607	Litwick	50	30	55	65	55	20	275	Ghost	Fire	5	False
608	Lampent	60	40	60	95	60	55	370	Ghost	Fire	5	False
609	Chandelure	60	55	90	145	90	80	520	Ghost	Fire	5	False
610	Axew	46	87	60	30	40	57	320	Dragon		5	False
611	Fraxure	66	117	70	40	50	67	410	Dragon		5	False
612	Haxorus	76	147	90	60	70	97	540	Dragon		5	False
613	Cubchoo	55	70	40	60	40	40	305	Ice		5	False
614	Beartic	95	110	80	70	80	50	485	Ice		5	False
615	Cryogonal	70	50	30	95	135	105	485	Ice		5	False
616	Shelmet	50	40	85	40	65	25	305	Bug		5	False
617	Accelgor	80	70	40	100	60	145	495	Bug		5	False
618	Stunfisk	109	66	84	81	99	32	471	Ground	Electric	5	False
619	Mienfoo	45	85	50	55	50	65	350	Fighting		5	False
620	Mienshao	65	125	60	95	60	105	510	Fighting		5	False
621	Druddigon	77	120	90	60	90	48	485	Dragon		5	False
622	Golett	59	74	50	35	50	35	303	Ground	Ghost	5	False
623	Golurk	89	124	80	55	80	55	483	Ground	Ghost	5	False
624	Pawniard	45	85	70	40	40	60	340	Dark	Steel	5	False
625	Bisharp	65	125	100	60	70	70	490	Dark	Steel	5	False
626	Bouffalant	95	110	95	40	95	55	490	Normal		5	False
627	Rufflet	70	83	50	37	50	60	350	Normal	Flying	5	False
628	Braviary	100	123	75	57	75	80	510	Normal	Flying	5	False
629	Vullaby	70	55	75	45	65	60	370	Dark	Flying	5	False
630	Mandibuzz	110	65	105	55	95	80	510	Dark	Flying	5	False
631	Heatmor	85	97	66	105	66	65	484	Fire		5	False
632	Durant	58	109	112	48	48	109	484	Bug	Steel	5	False
633	Deino	52	65	50	45	50	38	300	Dark	Dragon	5	False
634	Zweilous	72	85	70	65	70	58	420	Dark	Dragon	5	False
635	Hydreigon	92	105	90	125	90	98	600	Dark	Dragon	5	False
636	Larvesta	55	85	55	50	55	60	360	Bug	Fire	5	False
637	Volcarona	85	60	65	135	105	100	550	Bug	Fire	5	False
638	Cobalion	91	90	129	90	72	108	580	Steel	Fighting	5	True
639	Terrakion	91	129	90	72	90	108	580	Rock	Fighting	5	True
640	Virizion	91	90	72	90	129	108	580	Grass	Fighting	5	True
641	TornadusIncarnate Forme	79	115	70	125	80	111	580	Flying		5	True
641	TornadusTherian Forme	79	100	80	110	90	121	580	Flying		5	True
642	ThundurusIncarnate Forme	79	115	70	125	80	111	580	Electric	Flying	5	True
642	ThundurusTherian Forme	79	105	70	145	80	101	580	Electric	Flying	5	True
643	Reshiram	100	120	100	150	120	90	680	Dragon	Fire	5	True
644	Zekrom	100	150	120	120	100	90	680	Dragon	Electric	5	True
645	LandorusIncarnate Forme	89	125	90	115	80	101	600	Ground	Flying	5	True
645	LandorusTherian Forme	89	145	90	105	80	91	600	Ground	Flying	5	True
646	Kyurem	125	130	90	130	90	95	660	Dragon	Ice	5	True
646	KyuremBlack Kyurem	125	170	100	120	90	95	700	Dragon	Ice	5	True
646	KyuremWhite Kyurem	125	120	90	170	100	95	700	Dragon	Ice	5	True
647	KeldeoOrdinary Forme	91	72	90	129	90	108	580	Water	Fighting	5	False
647	KeldeoResolute Forme	91	72	90	129	90	108	580	Water	Fighting	5	False
648	MeloettaAria Forme	100	77	77	128	128	90	600	Normal	Psychic	5	False
648	MeloettaPirouette Forme	100	128	90	77	77	128	600	Normal	Fighting	5	False
649	Genesect	71	120	95	120	95	99	600	Bug	Steel	5	False
650	Chespin	56	61	65	48	45	38	313	Grass		6	False
651	Quilladin	61	78	95	56	58	57	405	Grass		6	False
652	Chesnaught	88	107	122	74	75	64	530	Grass	Fighting	6	False
653	Fennekin	40	45	40	62	60	60	307	Fire		6	False
654	Braixen	59	59	58	90	70	73	409	Fire		6	False
655	Delphox	75	69	72	114	100	104	534	Fire	Psychic	6	False
656	Froakie	41	56	40	62	44	71	314	Water		6	False
657	Frogadier	54	63	52	83	56	97	405	Water		6	False
658	Greninja	72	95	67	103	71	122	530	Water	Dark	6	False
659	Bunnelby	38	36	38	32	36	57	237	Normal		6	False
660	Diggersby	85	56	77	50	77	78	423	Normal	Ground	6	False
661	Fletchling	45	50	43	40	38	62	278	Normal	Flying	6	False
662	Fletchinder	62	73	55	56	52	84	382	Fire	Flying	6	False
663	Talonflame	78	81	71	74	69	126	499	Fire	Flying	6	False
664	Scatterbug	38	35	40	27	25	35	200	Bug		6	False
665	Spewpa	45	22	60	27	30	29	213	Bug		6	False
666	Vivillon	80	52	50	90	50	89	411	Bug	Flying	6	False
667	Litleo	62	50	58	73	54	72	369	Fire	Normal	6	False
668	Pyroar	86	68	72	109	66	106	507	Fire	Normal	6	False
669	Flabébé	44	38	39	61	79	42	303	Fairy		6	False
670	Floette	54	45	47	75	98	52	371	Fairy		6	False
671	Florges	78	65	68	112	154	75	552	Fairy		6	False
672	Skiddo	66	65	48	62	57	52	350	Grass		6	False
673	Gogoat	123	100	62	97	81	68	531	Grass		6	False
674	Pancham	67	82	62	46	48	43	348	Fighting		6	False
675	Pangoro	95	124	78	69	71	58	495	Fighting	Dark	6	False
676	Furfrou	75	80	60	65	90	102	472	Normal		6	False
677	Espurr	62	48	54	63	60	68	355	Psychic		6	False
678	MeowsticMale	74	48	76	83	81	104	466	Psychic		6	False
678	MeowsticFemale	74	48	76	83	81	104	466	Psychic		6	False
679	Honedge	45	80	100	35	37	28	325	Steel	Ghost	6	False
680	Doublade	59	110	150	45	49	35	448	Steel	Ghost	6	False
681	AegislashBlade Forme	60	150	50	150	50	60	520	Steel	Ghost	6	False
681	AegislashShield Forme	60	50	150	50	150	60	520	Steel	Ghost	6	False
682	Spritzee	78	52	60	63	65	23	341	Fairy		6	False
683	Aromatisse	101	72	72	99	89	29	462	Fairy		6	False
684	Swirlix	62	48	66	59	57	49	341	Fairy		6	False
685	Slurpuff	82	80	86	85	75	72	480	Fairy		6	False
686	Inkay	53	54	53	37	46	45	288	Dark	Psychic	6	False
687	Malamar	86	92	88	68	75	73	482	Dark	Psychic	6	False
688	Binacle	42	52	67	39	56	50	306	Rock	Water	6	False
689	Barbaracle	72	105	115	54	86	68	500	Rock	Water	6	False
690	Skrelp	50	60	60	60	60	30	320	Poison	Water	6	False
691	Dragalge	65	75	90	97	123	44	494	Poison	Dragon	6	False
692	Clauncher	50	53	62	58	63	44	330	Water		6	False
693	Clawitzer	71	73	88	120	89	59	500	Water		6	False
694	Helioptile	44	38	33	61	43	70	289	Electric	Normal	6	False
695	Heliolisk	62	55	52	109	94	109	481	Electric	Normal	6	False
696	Tyrunt	58	89	77	45	45	48	362	Rock	Dragon	6	False
697	Tyrantrum	82	121	119	69	59	71	521	Rock	Dragon	6	False
698	Amaura	77	59	50	67	63	46	362	Rock	Ice	6	False
699	Aurorus	123	77	72	99	92	58	521	Rock	Ice	6	False
700	Sylveon	95	65	65	110	130	60	525	Fairy		6	False
701	Hawlucha	78	92	75	74	63	118	500	Fighting	Flying	6	False
702	Dedenne	67	58	57	81	67	101	431	Electric	Fairy	6	False
703	Carbink	50	50	150	50	150	50	500	Rock	Fairy	6	False
704	Goomy	45	50	35	55	75	40	300	Dragon		6	False
705	Sliggoo	68	75	53	83	113	60	452	Dragon		6	False
706	Goodra	90	100	70	110	150	80	600	Dragon		6	False
707	Klefki	57	80	91	80	87	75	470	Steel	Fairy	6	False
708	Phantump	43	70	48	50	60	38	309	Ghost	Grass	6	False
709	Trevenant	85	110	76	65	82	56	474	Ghost	Grass	6	False
710	PumpkabooAverage Size	49	66	70	44	55	51	335	Ghost	Grass	6	False
710	PumpkabooSmall Size	44	66	70	44	55	56	335	Ghost	Grass	6	False
710	PumpkabooLarge Size	54	66	70	44	55	46	335	Ghost	Grass	6	False
710	PumpkabooSuper Size	59	66	70	44	55	41	335	Ghost	Grass	6	False
711	GourgeistAverage Size	65	90	122	58	75	84	494	Ghost	Grass	6	False
711	GourgeistSmall Size	55	85	122	58	75	99	494	Ghost	Grass	6	False
711	GourgeistLarge Size	75	95	122	58	75	69	494	Ghost	Grass	6	False
711	GourgeistSuper Size	85	100	122	58	75	54	494	Ghost	Grass	6	False
712	Bergmite	55	69	85	32	35	28	304	Ice		6	False
713	Avalugg	95	117	184	44	46	28	514	Ice		6	False
714	Noibat	40	30	35	45	40	55	245	Flying	Dragon	6	False
715	Noivern	85	70	80	97	80	123	535	Flying	Dragon	6	False
716	Xerneas	126	131	95	131	98	99	680	Fairy		6	True
717	Yveltal	126	131	95	131	98	99	680	Dark	Flying	6	True
718	Zygarde50% Forme	108	100	121	81	95	95	600	Dragon	Ground	6	True
719	Diancie	50	100	150	100	150	50	600	Rock	Fairy	6	True
719	DiancieMega Diancie	50	160	110	160	110	110	700	Rock	Fairy	6	True
720	HoopaHoopa Confined	80	110	60	150	130	70	600	Psychic	Ghost	6	True
720	HoopaHoopa Unbound	80	160	60	170	130	80	680	Psychic	Dark	6	True
721	Volcanion	80	110	120	130	90	70	600	Fire	Water	6	True
